"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"Mechanic Master","C26 (V1)","Classic","315","155","265","12.94","488.25","2.8","Al / Glass","2mm Al + 1mm Steel","130","120 / 240","-","310","135","80","4","-","mITX / mATX","SFX / SFX-L","","0 to 3","-","-","-","-","1 to 3","0 to 4","-","-","-","-","2","-","-","599.00","82.89","","","Discontinued","25 May 2023",""
"SKTC","S02","Sandwich","320","142","285","12.95","454.40","","Al / Glass","3-4mm Al","55","120 / 240","Y","305","130","40","2","-","mITX","SFX","","0 to 1","-","-","-","-","-","2","-","-","-","-","2","-","-","499.00","69.05","","","","",""
"GEEEK","A70 PRO","Sandwich","253","155","331","12.98","392.15","","Acrylic","Acrylic + Al frame","69","120 / 240","Y","305","152","60","2","-","mITX","SFX / SFX-L","2","-","-","-","-","-","-","2","-","-","-","-","2","-","-","","89.00","","Link","","",""
"AKLLA","A4 V2 (water cool)","Sandwich","335","155","250","12.98","519.25","2.8","Al","2mm 6061 Al + 2mm Steel","75","120 / 140 / 240 / 280","Y","330","140","58","2","-","mITX","SFX / SFX-L / ATX","5","-","-","-","-","-","-","0 to 2","0 to 2","-","-","-","-","-","-","599.00","82.89","","","","",""
"Silverstone","SUGO 16","Classic","280","200","232","12.99","560.00","2.66","Steel","Steel","172","120 / 2 x 120","-","275","147","55","2","-","mITX / mDTX","SFX / SFX-L / ATX","","0 to 1","-","-","-","0 to 1","0 to 1","1 to 2","-","-","-","-","2","-","Y","","86.00","","","","12 Oct 2021",""
"Jonsbo","V11","Sandwich","353","170","217","13.02","600.10","3.6","Al","2.5mm Al + 1mm Steel","70","140","Y","330","","60","3","-","mITX","SFX","2","-","-","-","-","-","-","-","1","-","-","-","1","1","Y","","","","","","30 Nov 2021",""
"Jonsbo","N1","Classic","354","170","217","13.06","601.80","3.8","Al","3mm Al + 1mm Steel","70","-","-","185","70","20","","1","mITX","SFX / SFX-L","1","5","-","-","-","-","-","-","1","-","-","-","1","1","Y","","110.00","","","","02 Sep 2021",""
"REVOCCASES","RCC-BIG1","Sandwich","188","188","370","13.08","353.44","","Al","Al","65","-","Y","300","","65","2","-","mITX","SFX","","0 to 1","-","-","-","-","-","0 to 1","0 to 1","-","-","-","-","-","-","","141.25","Link","","Discontinued","",""
"Dream Case","D33 (V1)","Classic","325","156","258","13.08","507.00","1.65","Steel","Steel","135","-","-","325","140","80","4","-","mITX / mATX","SFX / SFX-L","2","0 to 1","-","-","-","-","1 to 4","0 to 2","-","-","-","0 to 2","0 to 2","-","Y","196.00","27.12","","","Discontinued","25 May 2023",""
"GEEEK","A60","Sandwich","332","158","252","13.22","524.56","","Acrylic","Acrylic + Al frame","75","120 / 240","Y","300","134","55","2","-","mITX","SFX","2","-","-","-","-","-","-","3","-","-","-","-","2","-","-","","79.00","","","Discontinued","",""
