"Seller","Case","Style","Case Length (mm)","Case Width (mm)","Case Height (mm)","Volume (L)","Footprint (cm2)","Weight (kg)","Side Panel","Case Material","CPU Cooler Height (mm)","AIO / Radiator Support","GPU Riser","GPU Length (mm)","GPU Width (mm)","GPU Height / Thickness (mm)","PCIe Slot","LP PCIe Slot","Motherboard","PSU","2.5"" Drive","3.5"" Drive","5.25"" Drive","40 mm Fan","60 mm Fan","80 mm Fan","92 mm Fan","120 mm Fan","140 mm Fan","180 mm Fan","200 mm Fan","USB-A 2.0 I/O","USB-A 3.2 Gen 1 (5Gbps) I/O","USB-C I/O","3.5mm Jack I/O","Price (CNY)","Price (USD)","SFF.Net Link","SFFPC Wiki Link","Status","Last Update",""
"LOUSU Studios","LSIG","Sandwich","192","152","268","7.82","291.84","2","Al","3-4mm Al","75","-","Y","180","?","40","2","-","mITX","SFX / SFX-L","4","-","-","-","-","-","-","1","-","-","-","-","-","-","-","200.00","27.68","","","Discontinued","17 Feb 2022",""
"InWin","B1","APU","238","108","305","7.84","257.04","1.9","Glass","ABS plastic","60","-","-","-","-","-","-","-","mITX","Custom","2","-","-","-","-","1","-","-","-","-","-","-","1","-","Y","-","89.99","","","","02 Jan 2022",""
"InWin","B1 Mesh","APU","238","108","305","7.84","257.04","1.74","Mesh","ABS plastic","60","-","-","-","-","-","-","-","mITX","Custom","2","-","-","-","-","1","-","-","-","-","-","-","1","-","Y","-","119.00","","","","17 Feb 2022",""
"InWin","B1 Pure","APU","238","108","305","7.84","257.04","1.65","Wood","ABS plastic","60","-","-","-","-","-","-","-","mITX","Custom","2","-","-","-","-","1","-","-","-","-","-","-","1","-","Y","-","128.00","","","","02 Jan 2022",""
"Luna Design","PRIME","Sandwich","280","140","200","7.84","392.00","2.3","Al","6063-T6 Al","48","-","Y","250","131","40","2","-","mITX","Flex ATX / SFX / SFX-L","2","0 to 2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","188.50","","","","",""
"Cemo / 佑泽企业店","M1","Classic","250","100","315","7.88","250.00","1.3","Al","1.5mm Al","70","-","-","230","70","60","-","3","mITX / mATX (245x225)","Flex ATX","2","0 to 1","-","-","-","2","-","-","-","-","-","-","2","-","-","248.00","34.32","","","Discontinued","22 Nov 2022",""
"Metalfish","S2 Plus","Classic","225","115","305","7.89","258.75","2","Steel","1mm SPCC Steel","70","-","-","210","70","60","-","3","mITX / mATX (245x210)","Flex ATX","1","2","-","-","-","-","-","-","-","-","-","-","1","-","-","189.00","26.15","","","","26 Oct 2021",""
"魔神科技电脑机箱城","飞优浦 Ghost S1 (old)","Sandwich","310","137","186","7.90","424.70","2.5","Al","Al","63","120 / 240 /w top hat","Y","304","125","45","2","-","mITX","SFX / SFX-L","3","-","-","-","-","-","-","2","-","-","-","-","-","-","-","598.00","82.75","","","Discontinued","",""
"Salvo Studios","S401","Console","324.4","68.2","357.1","7.90","221.29","","Steel","1mm steel","52","-","Y","305","140","40","2","-","mITX","SFX / SFX-L","","0 to 2","-","-","3","-","-","-","-","-","-","-","1","1","-","-","150.00","Link","","Discontinued","",""
"SGPC","K39 pro (V1)","Sandwich","197","146","275","7.91","287.62","1.14","Al","2-4mm Al","80","-","Y","180","?","40","2","-","mITX","SFX","1","-","-","-","-","-","-","0 to 1","0 to 1","-","-","-","1","1","-","279.00","38.61","","","Discontinued","",""
